epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78004,1.26288,2.7519,1.49813,0.00333,1,0.29379,0.19774,0.9037,3.07635,1.36137,4e-05,4e-05,4e-05
2,2.72323,1.08667,2.604,1.49803,0.00333,1,0.79763,0.55903,0.96316,3.15987,1.42343,9.901e-05,9.901e-05,9.901e-05
3,3.81675,0.95645,2.49409,1.39969,0.00333,1,0.81643,0.5403,0.97994,3.13821,1.47515,0.000156832,0.000156832,0.000156832
4,4.99527,0.87411,2.04513,1.35498,0.00333,1,0.82833,0.41009,1.01453,3.04377,1.5805,0.000213466,0.000213466,0.000213466
5,6.03779,0.84192,1.6757,1.26625,0.55166,0.9308,0.82536,0.55908,0.89342,2.73847,1.14208,0.000268912,0.000268912,0.000268912
6,7.19031,0.84184,1.31524,1.25045,0.00536,1,0.745,0.54635,0.77882,2.77535,1.11237,0.00032317,0.00032317,0.00032317
7,8.17853,0.79834,1.28045,1.22084,0.53616,0.75,0.74634,0.62991,0.8351,2.88301,1.18829,0.00037624,0.00037624,0.00037624
8,9.14305,0.84263,1.41549,1.28577,0.75004,0.75,0.74645,0.50939,0.92417,2.94539,1.28584,0.000428122,0.000428122,0.000428122
9,10.1211,0.73518,1.23673,1.18142,0.00469,0.75,0.68397,0.46818,1.13556,3.00434,1.46473,0.000478816,0.000478816,0.000478816
10,11.0992,0.66967,1.19262,1.20138,0.00614,0.75,0.746,0.52128,1.11629,2.90896,1.46584,0.000528322,0.000528322,0.000528322
11,12.1178,0.77622,1.34818,1.27836,0.0025,0.75,0.37283,0.20704,1.52369,3.18282,1.74952,0.00057664,0.00057664,0.00057664
12,13.1453,0.72769,1.18952,1.18166,0.0025,0.75,0.45961,0.29318,1.32189,3.16079,1.7096,0.00062377,0.00062377,0.00062377
13,14.1768,0.71398,1.17769,1.18786,0.01128,0.75,0.57936,0.4133,1.5269,3.24404,1.8843,0.000669712,0.000669712,0.000669712
14,15.1703,0.75772,1.0553,1.25109,0.51341,0.75,0.74666,0.5224,1.54147,2.97008,1.95559,0.000714466,0.000714466,0.000714466
15,16.1508,0.67386,1.03049,1.13159,0.84625,0.5,0.62168,0.39852,1.65065,2.9844,1.96473,0.000758032,0.000758032,0.000758032
16,17.1573,0.67049,0.983,1.14211,0.85608,0.5,0.52178,0.40009,1.53684,3.09346,1.87718,0.00080041,0.00080041,0.00080041
17,18.2409,0.74283,1.24321,1.21196,0.4761,0.25,0.32053,0.22662,1.35589,3.21038,1.82138,0.0008416,0.0008416,0.0008416
18,19.2264,0.7182,1.10116,1.16655,1,0.49076,0.49882,0.42195,1.27304,3.19615,1.74065,0.000881602,0.000881602,0.000881602
19,20.2249,0.71738,1.1925,1.18748,0.46314,0.5,0.49833,0.39727,1.38753,3.15579,1.74671,0.000920416,0.000920416,0.000920416
20,21.2294,0.66152,1.1495,1.16874,0.45089,0.5,0.25039,0.18684,1.49279,3.08422,2.08241,0.000958042,0.000958042,0.000958042
21,22.2398,0.75065,1.07091,1.23407,0.13952,0.5,0.10808,0.07547,1.60515,3.53866,2.23319,0.00099448,0.00099448,0.00099448
22,23.2919,0.64645,1.00613,1.15812,0.18091,0.5,0.12475,0.07805,1.70549,4.27539,2.35291,0.00102973,0.00102973,0.00102973
23,24.3305,0.62774,0.94403,1.16543,0.46535,0.5,0.25483,0.13311,2.07797,3.48725,2.7292,0.00106379,0.00106379,0.00106379
24,25.3925,0.72652,0.94986,1.26285,0.64921,0.5,0.42409,0.30897,2.04435,3.78997,2.75986,0.00109667,0.00109667,0.00109667
25,26.3975,0.64608,0.92727,1.12736,0.89277,0.5,0.51002,0.4266,1.54367,3.58674,1.88763,0.00112835,0.00112835,0.00112835
26,27.3696,0.72579,1.03676,1.22556,0.95581,0.5,0.51729,0.40071,1.5057,2.61921,2.15604,0.00115885,0.00115885,0.00115885
27,28.3768,0.56242,0.85606,1.07915,0.9334,0.5,0.49599,0.3964,1.70553,3.02061,2.25835,0.00118816,0.00118816,0.00118816
28,29.3243,0.75169,1.02008,1.20072,0.64154,0.5,0.41264,0.2719,1.85084,3.30915,2.13714,0.00121628,0.00121628,0.00121628
29,30.2358,0.612,0.99088,1.11154,0.64154,0.5,0.41264,0.2719,1.85084,3.30915,2.13714,0.00124322,0.00124322,0.00124322
30,31.1663,0.73989,1.02743,1.2013,0.23469,0.5,0.14514,0.12393,1.69466,3.12297,2.05587,0.00126896,0.00126896,0.00126896
31,32.1008,0.67044,0.91141,1.15941,0.49549,0.5,0.41262,0.35436,1.6214,2.82566,2.07278,0.00129352,0.00129352,0.00129352
32,33.1028,0.61493,0.84852,1.0983,1,0.49713,0.49624,0.34617,1.70778,2.6739,2.19373,0.00131689,0.00131689,0.00131689
33,34.029,0.71881,0.92353,1.17835,1,0.49713,0.49624,0.34617,1.70778,2.6739,2.19373,0.00133907,0.00133907,0.00133907
34,35.0085,0.63514,0.86195,1.1466,0.58341,0.5,0.43342,0.29922,1.5343,2.59984,1.65457,0.0013466,0.0013466,0.0013466
35,35.983,0.67588,0.83626,1.18396,0.94455,0.25,0.34192,0.25368,1.6006,2.64405,1.7645,0.0013268,0.0013268,0.0013268
36,36.9631,0.67798,0.83454,1.12581,0.95433,0.25,0.32565,0.21499,1.69748,2.75614,1.78505,0.001307,0.001307,0.001307
37,37.8876,0.61647,0.80554,1.13046,0.95433,0.25,0.32565,0.21499,1.69748,2.75614,1.78505,0.0012872,0.0012872,0.0012872
38,38.7981,0.53068,0.77572,1.0789,0.95679,0.25,0.39366,0.29564,1.49754,2.58168,1.73797,0.0012674,0.0012674,0.0012674
39,39.7966,0.61331,0.83463,1.19199,1,0.48608,0.71722,0.55395,1.21541,1.92913,1.45135,0.0012476,0.0012476,0.0012476
40,40.7762,0.63141,0.84488,1.14154,1,0.49912,0.57998,0.42146,1.19373,1.97983,1.61807,0.0012278,0.0012278,0.0012278
41,41.7072,0.5995,0.82242,1.06406,1,0.49912,0.57998,0.42146,1.19373,1.97983,1.61807,0.001208,0.001208,0.001208
42,42.6675,0.58534,0.81464,1.10802,0.97448,0.5,0.51914,0.42568,1.32668,1.91518,1.75162,0.0011882,0.0011882,0.0011882
43,43.633,0.68947,0.82746,1.09921,0.96618,0.5,0.51515,0.37513,1.39262,1.85495,1.69696,0.0011684,0.0011684,0.0011684
44,44.6433,0.59042,0.71496,1.12291,0.96803,0.5,0.52315,0.45439,1.2038,1.77601,1.54775,0.0011486,0.0011486,0.0011486
45,45.5828,0.5975,0.81198,1.0993,0.96803,0.5,0.52315,0.45439,1.2038,1.77601,1.54775,0.0011288,0.0011288,0.0011288
46,46.5153,0.55757,0.75853,1.03996,0.96329,0.5,0.56461,0.49143,1.10913,1.7296,1.53341,0.001109,0.001109,0.001109
47,47.4629,0.54705,0.74521,1.06697,0.9635,0.5,0.6463,0.4664,1.35358,1.81835,1.73643,0.0010892,0.0010892,0.0010892
48,48.4174,0.71266,0.73566,1.14758,0.96907,0.5,0.6461,0.46629,1.32801,1.66351,1.70378,0.0010694,0.0010694,0.0010694
49,49.3864,0.57341,0.69292,1.04065,0.96907,0.5,0.6461,0.46629,1.32801,1.66351,1.70378,0.0010496,0.0010496,0.0010496
50,50.3609,0.61614,0.78586,1.08635,0.64318,0.75,0.68365,0.53398,1.04929,1.86504,1.3936,0.0010298,0.0010298,0.0010298
51,51.3384,0.52974,0.68521,1.07342,0.74824,0.74471,0.6926,0.59052,0.93973,1.81669,1.29476,0.00101,0.00101,0.00101
52,52.3536,0.63639,0.80965,1.14584,0.74778,0.75,0.68336,0.57722,0.9499,1.8063,1.33499,0.0009902,0.0009902,0.0009902
53,53.2881,0.52561,0.65637,1.06635,0.74778,0.75,0.68336,0.57722,0.9499,1.8063,1.33499,0.0009704,0.0009704,0.0009704
