epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6559,1.08507,1.71812,1.33752,0.63988,0.71168,0.70192,0.46301,1.33454,1.51049,1.56144,0.000474128,0.000474128,0.000474128
2,47.0718,1.12527,1.22579,1.33313,0.86079,0.66398,0.73201,0.44707,1.36872,1.17974,1.61452,0.000941052,0.000941052,0.000941052
3,65.8253,1.12323,1.06754,1.32982,0.79282,0.62532,0.69171,0.41441,1.40414,1.34166,1.71506,0.00139854,0.00139854,0.00139854
4,84.7392,1.08691,0.96364,1.30529,0.66438,0.73928,0.76199,0.50497,1.26147,1.32215,1.48765,0.00138656,0.00138656,0.00138656
5,103.26,1.06199,0.88872,1.28599,0.8343,0.68187,0.74425,0.5335,1.29897,1.21582,1.53203,0.00137241,0.00137241,0.00137241
6,121.999,1.02638,0.83387,1.26807,0.63788,0.59915,0.65748,0.44862,1.25637,1.29296,1.47431,0.00135826,0.00135826,0.00135826
7,140.652,0.99322,0.79128,1.24199,0.80532,0.68455,0.74395,0.49423,1.27683,1.09203,1.48202,0.00134412,0.00134412,0.00134412
8,159.107,0.98215,0.75912,1.23545,0.87665,0.76754,0.8178,0.58465,1.16441,0.84028,1.36851,0.00132997,0.00132997,0.00132997
9,177.809,0.97781,0.74753,1.23266,0.78254,0.75488,0.8021,0.57498,1.15968,0.83594,1.36824,0.00131582,0.00131582,0.00131582
10,197.626,0.94131,0.71613,1.2145,0.78583,0.76897,0.82387,0.56692,1.09235,0.82207,1.32511,0.00130168,0.00130168,0.00130168
11,217.6,0.94136,0.69607,1.19789,0.80406,0.75017,0.79352,0.491,1.21434,0.88492,1.41445,0.00128753,0.00128753,0.00128753
12,237.386,0.91634,0.67524,1.19532,0.91791,0.7715,0.82526,0.54312,1.10193,0.77372,1.34912,0.00127338,0.00127338,0.00127338
