epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9706,0.75877,1.15654,1.1419,0.85863,0.81154,0.8725,0.64175,0.87055,1.16338,1.31415,0.000661157,0.000661157,0.000661157
2,69.458,0.81069,0.816,1.16095,0.72808,0.63793,0.75102,0.53863,0.97262,1.22781,1.33889,0.00131468,0.00131468,0.00131468
3,103.12,0.80965,0.72503,1.17374,0.56002,0.55413,0.50994,0.27205,1.36658,1.94511,1.70578,0.001955,0.001955,0.001955
4,136.217,0.81958,0.65674,1.16159,0.93817,0.9157,0.94674,0.72734,0.81135,0.71069,1.22812,0.0019406,0.0019406,0.0019406
5,170.216,0.76657,0.59628,1.13973,0.91534,0.85776,0.93161,0.73574,0.80277,0.69367,1.22684,0.0019208,0.0019208,0.0019208
6,204.083,0.74451,0.56646,1.12747,0.92005,0.94249,0.96456,0.77801,0.711,0.51561,1.10511,0.001901,0.001901,0.001901
7,237.431,0.71758,0.52404,1.10671,0.92779,0.94154,0.96374,0.78493,0.717,0.49315,1.11286,0.0018812,0.0018812,0.0018812
8,270.821,0.709,0.50598,1.09846,0.96287,0.91379,0.96448,0.78365,0.73528,0.5275,1.12936,0.0018614,0.0018614,0.0018614
9,303.773,0.68264,0.48624,1.08559,0.95951,0.90517,0.95558,0.76956,0.6855,0.51698,1.08214,0.0018416,0.0018416,0.0018416
10,336.94,0.68729,0.48507,1.0948,0.96743,0.89655,0.9542,0.76725,0.71013,0.54055,1.11819,0.0018218,0.0018218,0.0018218
11,372.708,0.66924,0.46416,1.0696,0.9845,0.91379,0.96562,0.81943,0.63754,0.44676,1.05234,0.001802,0.001802,0.001802
12,408.825,0.65575,0.46294,1.0761,0.9725,0.90948,0.96733,0.8071,0.64474,0.46465,1.06257,0.0017822,0.0017822,0.0017822
13,443.024,0.64041,0.44498,1.05942,0.93702,0.91379,0.96061,0.80537,0.61689,0.50384,1.02326,0.0017624,0.0017624,0.0017624
14,476.758,0.62136,0.42861,1.04727,0.96019,0.9357,0.96745,0.82229,0.62552,0.43768,1.02448,0.0017426,0.0017426,0.0017426
15,512.239,0.63354,0.43831,1.05015,0.9862,0.92407,0.97006,0.81773,0.6573,0.4379,1.06662,0.0017228,0.0017228,0.0017228
16,545.068,0.61218,0.41113,1.04411,0.9569,0.93534,0.96519,0.8227,0.61601,0.42905,1.02031,0.001703,0.001703,0.001703
17,579.07,0.62065,0.41373,1.04165,0.96857,0.92971,0.97075,0.8312,0.61947,0.4211,1.02686,0.0016832,0.0016832,0.0016832
18,611.654,0.60575,0.41086,1.03456,0.98162,0.92069,0.95899,0.81579,0.62116,0.45929,1.03106,0.0016634,0.0016634,0.0016634
19,644.496,0.60054,0.41256,1.03682,0.97236,0.90985,0.96575,0.82894,0.62386,0.44004,1.03247,0.0016436,0.0016436,0.0016436
20,677.065,0.59978,0.40118,1.03033,0.96069,0.93103,0.96936,0.83788,0.6145,0.41735,1.02285,0.0016238,0.0016238,0.0016238
21,710.498,0.56694,0.38507,1.0198,0.95232,0.94709,0.96409,0.83062,0.62788,0.44599,1.03877,0.001604,0.001604,0.001604
22,743.681,0.58317,0.38259,1.02485,0.96776,0.90579,0.97464,0.84103,0.59784,0.39658,1.00823,0.0015842,0.0015842,0.0015842
23,776.163,0.57112,0.38425,1.02159,0.97731,0.92841,0.96905,0.83411,0.59964,0.42813,1.02148,0.0015644,0.0015644,0.0015644
24,808.761,0.55129,0.36594,1.00241,0.98193,0.93699,0.96826,0.83128,0.60444,0.4018,1.01799,0.0015446,0.0015446,0.0015446
25,841.184,0.57319,0.36942,1.01844,0.97034,0.93534,0.97169,0.84283,0.57435,0.39076,0.99195,0.0015248,0.0015248,0.0015248
26,874.029,0.54506,0.35602,1.00545,0.96916,0.94817,0.96673,0.841,0.59897,0.41235,1.01165,0.001505,0.001505,0.001505
27,906.713,0.55304,0.35599,1.01218,0.96884,0.93808,0.96674,0.82692,0.60704,0.41074,1.01937,0.0014852,0.0014852,0.0014852
28,939.127,0.54603,0.35895,1.01024,0.95786,0.94397,0.97303,0.82672,0.61146,0.40472,1.02179,0.0014654,0.0014654,0.0014654
29,971.584,0.54777,0.35366,1.00999,0.98125,0.92241,0.96815,0.83309,0.61324,0.41922,1.01625,0.0014456,0.0014456,0.0014456
30,1004.08,0.54509,0.3619,0.99817,0.96223,0.93966,0.96479,0.83132,0.5924,0.40045,1.02215,0.0014258,0.0014258,0.0014258
31,1036.6,0.52497,0.34805,0.99844,0.96808,0.93966,0.96526,0.83509,0.56391,0.39027,0.98736,0.001406,0.001406,0.001406
32,1069.16,0.53525,0.34816,0.99095,0.98175,0.92773,0.96886,0.84732,0.54192,0.36568,0.97867,0.0013862,0.0013862,0.0013862
