epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0162,1.7565,2.40706,1.7077,0.59246,0.46522,0.49732,0.21155,1.7756,2.72166,2.01074,0.000659498,0.000659498,0.000659498
2,61.6732,1.78779,2.00031,1.75384,0.55708,0.50435,0.51122,0.22252,1.88426,2.12995,2.05058,0.00131304,0.00131304,0.00131304
3,90.8218,1.82891,1.88111,1.77015,0.21539,0.12174,0.06643,0.02226,2.71373,4.31525,2.78343,0.00195337,0.00195337,0.00195337
4,119.436,1.82571,1.74844,1.77523,0.50431,0.57826,0.50271,0.22664,1.871,1.87542,2.01824,0.0019406,0.0019406,0.0019406
5,146.885,1.76971,1.62361,1.70678,0.50281,0.56087,0.51219,0.22086,1.90117,3.94338,2.02299,0.0019208,0.0019208,0.0019208
6,173.457,1.72797,1.52879,1.69045,0.66315,0.50435,0.5606,0.26688,1.91318,1.73305,2.03946,0.001901,0.001901,0.001901
7,200.287,1.69733,1.50821,1.66814,0.69654,0.54783,0.65426,0.31601,1.81612,1.48395,1.94886,0.0018812,0.0018812,0.0018812
8,227.036,1.6834,1.48877,1.66975,0.70503,0.56957,0.67043,0.32088,1.67791,1.47403,1.8155,0.0018614,0.0018614,0.0018614
9,253.949,1.65864,1.40372,1.64762,0.69728,0.62091,0.67266,0.33238,1.7451,1.39388,1.85674,0.0018416,0.0018416,0.0018416
10,281.615,1.61994,1.34981,1.59075,0.66284,0.46522,0.50422,0.23866,1.91324,2.10115,2.02888,0.0018218,0.0018218,0.0018218
11,309.48,1.62346,1.36449,1.60135,0.66841,0.62226,0.68328,0.33112,1.76425,1.43474,1.82308,0.001802,0.001802,0.001802
12,337.598,1.60368,1.29801,1.59184,0.74299,0.56561,0.66625,0.2903,1.8899,1.59313,1.93804,0.0017822,0.0017822,0.0017822
13,365.665,1.59897,1.27469,1.57624,0.79948,0.62174,0.73449,0.36124,1.75669,1.31603,1.79472,0.0017624,0.0017624,0.0017624
14,393.842,1.56349,1.23919,1.55287,0.77858,0.59625,0.70837,0.32802,1.81684,1.5186,1.85492,0.0017426,0.0017426,0.0017426
15,421.76,1.53139,1.20273,1.53515,0.70278,0.61739,0.68175,0.31837,1.8582,1.42123,1.93638,0.0017228,0.0017228,0.0017228
16,449.841,1.52534,1.17689,1.53625,0.7468,0.71739,0.7856,0.41503,1.60212,1.14553,1.72653,0.001703,0.001703,0.001703
17,477.737,1.51778,1.17239,1.53707,0.766,0.66892,0.76359,0.38125,1.71311,1.19485,1.81927,0.0016832,0.0016832,0.0016832
18,505.546,1.49331,1.14423,1.51688,0.77108,0.65652,0.76589,0.38546,1.6718,1.27494,1.76206,0.0016634,0.0016634,0.0016634
